UTME,UTMN,Elevation,M,T,F,R,,,
309776.2,5326811.73,277.54,-1.13E-02,-6.65E-04,1.01E+00,-1.03E+00,,,
309913.29,5326751.92,247.93,-1.19E-02,-7.01E-04,1.01E+00,-5.52E-01,,,
310045.2,5326687.06,255.72,-1.27E-02,-7.44E-04,1.01E+00,-9.69E-01,,,
309992.7,5326554.32,311.01,-1.12E-02,-6.54E-04,1.01E+00,-1.46E+00,,,
310122.97,5326485.03,328.86,-1.26E-02,-7.30E-04,1.02E+00,-2.15E+00,,,
310258.17,5326420.29,290.94,-1.69E-02,-9.69E-04,1.03E+00,-3.29E+00,,,
310397.37,5326361.47,233.85,-4.09E-02,-2.29E-03,1.06E+00,-6.23E+00,,,
310530.3,5326302.78,217.17,3.14E-02,2.06E-03,9.04E-01,9.64E+00,,,
310664.89,5326235.06,221.97,8.02E-03,4.87E-04,9.77E-01,2.30E+00,,,
310803.02,5326172.95,210.71,3.77E-03,2.26E-04,9.88E-01,1.23E+00,,,
310742.39,5326042.99,207.83,3.92E-03,2.29E-04,1.02E+00,-1.52E+00,,,
310605.75,5326103.91,220.27,8.00E-03,4.84E-04,9.80E-01,1.95E+00,,,
310470.25,5326166.43,221.61,2.86E-02,1.85E-03,9.19E-01,8.12E+00,,,
310335.15,5326225.58,226.23,-4.16E-02,-2.49E-03,9.91E-01,9.18E-01,,,
310195.35,5326285.61,261.87,-1.71E-02,-1.00E-03,1.02E+00,-1.61E+00,,,
310541.83,5325966.87,217.89,7.63E-03,4.61E-04,9.82E-01,1.83E+00,,,
310405.61,5326029.11,227.84,2.71E-02,1.77E-03,9.10E-01,9.00E+00,,,
310273.61,5326093.65,237.16,-4.21E-02,-2.58E-03,9.70E-01,3.04E+00,,,
310133,5326152.35,263.41,-1.80E-02,-1.05E-03,1.02E+00,-1.78E+00,,,
310073.25,5326021.73,265.57,-2.05E-02,-1.21E-03,1.00E+00,-1.96E-01,,,
310207.85,5325953.86,251.65,-4.65E-02,-2.88E-03,9.56E-01,4.41E+00,,,
310340.93,5325888.71,236.49,2.15E-02,1.50E-03,8.52E-01,1.48E+01,,,
310282.81,5325756.25,221.73,1.30E-02,8.50E-04,9.10E-01,8.95E+00,,,
310421.97,5325691.21,211.79,5.00E-03,3.05E-04,9.74E-01,2.62E+00,,,
310549.21,5325630.07,211.64,2.82E-03,1.70E-04,9.84E-01,1.62E+00,,,
310615.79,5325764.78,214.92,3.29E-03,1.98E-04,9.84E-01,1.56E+00,,,
310143.84,5325820.14,266.68,-8.77E-02,-5.26E-03,9.89E-01,1.14E+00,,,
310006.82,5325885.02,268.85,-3.31E-02,-2.02E-03,9.72E-01,2.81E+00,,,
309868.18,5325943.55,295.97,-2.23E-02,-1.33E-03,9.93E-01,6.89E-01,,,
309935.98,5326082.7,291.6,-1.51E-02,-8.94E-04,1.00E+00,-3.17E-01,,,
309830.55,5325836.56,303.43,-5.70E-02,-3.51E-03,9.62E-01,3.83E+00,,,
310081.58,5325681.93,253.1,1.75E-02,1.11E-03,9.31E-01,6.92E+00,,,
310018.16,5325550.33,233.36,6.25E-03,3.95E-04,9.38E-01,6.22E+00,,,
310153.23,5325484.3,219.59,3.99E-03,2.43E-04,9.75E-01,2.48E+00,,,
310216.23,5325620.04,220.24,7.05E-03,4.32E-04,9.68E-01,3.24E+00,,,
310351.26,5325558.27,215.57,3.75E-03,2.26E-04,9.81E-01,1.86E+00,,,
309399.68,5325996.4,320.87,-1.89E-02,-1.15E-03,9.77E-01,2.31E+00,,,
309546.33,5325961.67,331.22,-2.11E-02,-1.28E-03,9.79E-01,2.13E+00,,,
309688.27,5325900.82,317.42,-2.99E-02,-1.85E-03,9.59E-01,4.10E+00,,,
309499.75,5325857.29,330.92,-5.32E-02,-3.52E-03,8.98E-01,1.02E+01,,,
309343.54,5325877.24,312.5,-4.29E-02,-2.87E-03,8.87E-01,1.13E+01,,,
309199.52,5325921.43,316.65,-4.06E-02,-2.75E-03,8.74E-01,1.26E+01,,,
309066.69,5325989.43,369.3,-3.69E-02,-2.08E-03,1.05E+00,-4.96E+00,,,
309126.57,5326123.57,335.27,-1.59E-02,-9.56E-04,9.88E-01,1.21E+00,,,
309009.44,5326196.45,321.74,-1.51E-02,-8.97E-04,9.99E-01,1.09E-01,,,
308930.94,5326040.53,322.91,-3.23E-02,-2.12E-03,9.04E-01,9.61E+00,,,
309056.65,5326319.37,353.49,-1.17E-02,-6.88E-04,1.01E+00,-1.11E+00,,,
309192.23,5326265.59,342.35,-1.16E-02,-6.81E-04,1.01E+00,-1.28E+00,,,
309328.67,5326192.31,353.78,-1.21E-02,-7.09E-04,1.01E+00,-9.10E-01,,,
309267.56,5326057.17,340.41,-1.70E-02,-1.01E-03,9.97E-01,3.30E-01,,,
309464.79,5326128.84,332.35,-1.28E-02,-7.65E-04,9.94E-01,6.11E-01,,,
309602.66,5326065.04,322.55,-1.45E-02,-8.68E-04,9.90E-01,1.05E+00,,,
309666.49,5326202.67,334.35,-1.14E-02,-6.72E-04,1.00E+00,-4.45E-01,,,
309797.7,5326147.26,333.7,-1.25E-02,-7.41E-04,1.00E+00,-3.88E-01,,,
309738.65,5326006.29,356.36,-1.69E-02,-9.81E-04,1.02E+00,-2.10E+00,,,
309525.61,5326267.74,344.63,-1.05E-02,-6.20E-04,1.01E+00,-5.41E-01,,,
309386.2,5326334.49,369.33,-1.01E-02,-5.88E-04,1.02E+00,-1.53E+00,,,
309254.63,5326391.06,362.31,-9.93E-03,-5.82E-04,1.01E+00,-1.13E+00,,,
309115.02,5326457.63,385.65,-1.00E-02,-5.83E-04,1.02E+00,-1.81E+00,,,
309180.35,5326594.96,389.7,-9.28E-03,-5.41E-04,1.02E+00,-1.84E+00,,,
309320.25,5326524.67,367.96,-9.25E-03,-5.37E-04,1.02E+00,-2.07E+00,,,
309448.7,5326464.67,363.51,-9.56E-03,-5.43E-04,1.04E+00,-4.42E+00,,,
309591.85,5326403.84,361.96,-9.67E-03,-5.60E-04,1.03E+00,-2.50E+00,,,
309716.85,5326344.86,389.61,-9.98E-03,-5.80E-04,1.02E+00,-2.06E+00,,,
309859.45,5326283.89,355.54,-1.10E-02,-6.43E-04,1.02E+00,-1.58E+00,,,
309997.08,5326224.08,340.37,-1.28E-02,-7.41E-04,1.03E+00,-2.73E+00,,,
310067.05,5326348.25,344.85,-1.23E-02,-7.13E-04,1.03E+00,-2.53E+00,,,
309929.22,5326413.33,377.64,-1.05E-02,-6.11E-04,1.02E+00,-2.15E+00,,,
309788.09,5326479.87,356.26,-9.78E-03,-5.72E-04,1.01E+00,-1.47E+00,,,
309656.23,5326544.58,320.8,-9.47E-03,-5.52E-04,1.02E+00,-1.64E+00,,,
309519.9,5326612.71,322.71,-9.22E-03,-5.38E-04,1.02E+00,-1.60E+00,,,
309378.31,5326666.72,329.28,-9.15E-03,-5.34E-04,1.02E+00,-1.68E+00,,,
309248.27,5326726.24,363.91,-9.17E-03,-5.36E-04,1.01E+00,-1.42E+00,,,
309158.65,5325831.84,313.38,6.22E-02,4.33E-03,8.53E-01,1.47E+01,,,
309003.97,5325843.88,322.6,2.13E-02,1.50E-03,8.42E-01,1.58E+01,,,
308890.31,5325903.45,372.37,3.14E-02,1.84E-03,1.01E+00,-1.13E+00,,,
309847.17,5326612.34,296.62,-1.03E-02,-6.05E-04,1.01E+00,-1.35E+00,,,
309713.93,5326677.64,287.73,-9.97E-03,-5.82E-04,1.02E+00,-1.64E+00,,,
309576.51,5326740.81,299.9,-9.68E-03,-5.67E-04,1.01E+00,-1.21E+00,,,
309444.89,5326808.08,295.93,-9.55E-03,-5.68E-04,9.97E-01,2.95E-01,,,
309305.31,5326862.41,306.57,-9.73E-03,-5.72E-04,1.01E+00,-9.54E-01,,,
309166.33,5326930.35,301.37,-1.01E-02,-5.97E-04,1.00E+00,-4.28E-01,,,
309034.33,5326993.8,312.72,-1.08E-02,-6.40E-04,1.00E+00,-1.33E-01,,,
308892.94,5327053.37,333.24,-1.24E-02,-7.33E-04,1.01E+00,-5.19E-01,,,
308955.46,5327188.35,271.46,-1.40E-02,-8.26E-04,1.01E+00,-8.55E-01,,,
308821.7,5327250.73,265.28,-1.81E-02,-1.06E-03,1.01E+00,-1.02E+00,,,
308684.88,5327314.65,275.78,-3.81E-02,-2.24E-03,1.01E+00,-1.16E+00,,,
308277.6,5327515.15,283.26,3.46E-03,2.07E-04,9.90E-01,9.96E-01,,,
308415.18,5327447.67,282.34,7.25E-03,4.35E-04,9.89E-01,1.07E+00,,,
308543.21,5327376.45,276.19,2.44E-02,1.60E-03,9.01E-01,9.85E+00,,,
308983.46,5326520.58,410.75,-1.02E-02,-5.97E-04,1.02E+00,-1.80E+00,,,
309041.97,5326656.18,420.84,-9.61E-03,-5.57E-04,1.02E+00,-2.25E+00,,,
309106.47,5326788.33,363.04,-9.58E-03,-5.60E-04,1.01E+00,-1.44E+00,,,
308967.64,5326857.86,370.6,-1.04E-02,-6.08E-04,1.01E+00,-1.34E+00,,,
308906.47,5326720.28,419.15,-1.05E-02,-6.06E-04,1.03E+00,-3.17E+00,,,
